customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost
17,122,dantkanti,2023-07-15,4,100,3,300
15,122,nutrella,2023-08-09,6,40,10,400
1,123,refined oil,2023-05-23,7,110,9,990
5,123,nutrella,2023-06-06,8,40,1,40
4,123,dantkanti,2023-05-25,9,100,10,1000
18,123,sugar,2023-07-08,9,50,4,200
7,123,sugar,2023-03-22,7,50,9,450
9,121,quaker oats,2023-04-27,2,212,1,212
7,121,refined oil,2023-07-03,2,110,4,440
20,122,besan,2023-08-14,6,52,7,364
2,121,dantkanti,2023-03-27,1,100,2,200
3,122,nutrella,2023-06-01,6,40,2,80
6,122,maida,2023-03-29,6,20,5,100
18,122,clinic plus,2023-06-20,5,1.5,3,4.5
8,122,dantkanti,2023-03-26,4,100,5,500
2,123,clinic plus,2023-06-07,7,1.5,2,3.0
2,121,quaker oats,2023-03-18,3,212,3,636
6,121,clinic plus,2023-06-03,2,1.5,10,15.0
9,121,sugar,2023-03-10,2,50,8,400
17,123,quaker oats,2023-07-11,7,212,1,212
3,122,maida,2023-03-13,5,20,5,100
17,122,nutrella,2023-03-09,5,40,6,240
11,121,besan,2023-07-01,2,52,3,156
9,122,besan,2023-06-24,5,52,8,416
5,123,nutrella,2023-07-09,7,40,8,320
2,121,sugar,2023-08-10,2,50,2,100
8,122,besan,2023-03-30,5,52,1,52
19,123,sugar,2023-08-02,9,50,4,200
10,123,clinic plus,2023-07-15,7,1.5,1,1.5
2,121,quaker oats,2023-04-23,1,212,9,1908
4,123,sugar,2023-08-19,7,50,10,500
6,123,besan,2023-03-21,9,52,7,364
6,123,clinic plus,2023-06-16,7,1.5,6,9.0
2,121,nutrella,2023-03-25,2,40,4,160
5,122,clinic plus,2023-03-24,4,1.5,3,4.5
8,122,maida,2023-04-04,4,20,1,20
10,121,quaker oats,2023-05-28,2,212,3,636
18,121,refined oil,2023-07-30,3,110,10,1100
7,123,dantkanti,2023-06-28,9,100,8,800
18,121,besan,2023-06-30,3,52,4,208
2,121,nutrella,2023-03-14,3,40,7,280
10,121,refined oil,2023-07-06,2,110,4,440
11,122,clinic plus,2023-05-11,4,1.5,5,7.5
20,121,clinic plus,2023-08-20,1,1.5,1,1.5
11,123,dantkanti,2023-03-07,7,100,8,800
6,123,nutrella,2023-04-15,7,40,10,400
3,123,refined oil,2023-04-15,9,110,6,660
1,123,sugar,2023-05-16,8,50,2,100
9,122,sugar,2023-03-19,6,50,2,100
4,121,nutrella,2023-04-18,2,40,2,80
3,122,maida,2023-06-04,5,20,2,40
18,122,refined oil,2023-03-24,4,110,1,110
6,123,clinic plus,2023-03-20,8,1.5,10,15.0
10,123,clinic plus,2023-03-16,8,1.5,8,12.0
13,121,clinic plus,2023-04-24,1,1.5,8,12.0
16,121,nutrella,2023-04-22,1,40,10,400
20,122,sugar,2023-05-17,5,50,1,50
12,122,maida,2023-08-16,6,20,6,120
8,122,dantkanti,2023-05-11,5,100,4,400
18,123,clinic plus,2023-05-01,9,1.5,9,13.5
9,123,clinic plus,2023-05-05,9,1.5,8,12.0
8,121,nutrella,2023-06-19,1,40,6,240
10,121,sugar,2023-03-23,3,50,5,250
13,122,maida,2023-08-08,6,20,1,20
1,122,dantkanti,2023-05-24,4,100,1,100
2,121,nutrella,2023-04-22,2,40,4,160
17,121,maida,2023-03-16,1,20,7,140
10,122,clinic plus,2023-05-02,4,1.5,2,3.0
8,123,maida,2023-05-11,9,20,3,60
14,121,dantkanti,2023-07-07,2,100,5,500
10,123,clinic plus,2023-06-30,9,1.5,5,7.5
5,122,besan,2023-03-07,4,52,2,104
14,123,maida,2023-06-16,8,20,10,200
3,121,sugar,2023-08-16,3,50,1,50
15,122,dantkanti,2023-05-25,6,100,5,500
7,121,nutrella,2023-05-09,3,40,8,320
8,122,sugar,2023-03-23,4,50,9,450
20,123,refined oil,2023-07-11,7,110,1,110
19,122,sugar,2023-07-15,5,50,3,150
2,123,quaker oats,2023-04-18,9,212,1,212
18,121,besan,2023-04-13,1,52,3,156
20,121,nutrella,2023-05-13,2,40,4,160
14,122,nutrella,2023-04-05,4,40,9,360
9,122,sugar,2023-03-20,5,50,5,250
17,121,sugar,2023-07-02,3,50,1,50
12,122,nutrella,2023-05-08,6,40,3,120
7,122,dantkanti,2023-03-08,6,100,6,600
5,123,refined oil,2023-05-17,9,110,9,990
15,123,quaker oats,2023-07-07,8,212,2,424
16,121,refined oil,2023-08-08,1,110,9,990
1,122,maida,2023-07-20,6,20,7,140
8,122,quaker oats,2023-04-30,4,212,2,424
6,121,quaker oats,2023-07-21,2,212,5,1060
15,122,sugar,2023-04-28,5,50,10,500
7,123,sugar,2023-04-06,7,50,3,150
13,123,refined oil,2023-04-11,8,110,5,550
14,122,refined oil,2023-06-26,6,110,8,880
9,121,sugar,2023-06-29,1,50,5,250
19,123,refined oil,2023-05-10,9,110,3,330
13,122,besan,2023-06-24,6,52,3,156
10,122,maida,2023-06-07,5,20,8,160
8,122,maida,2023-03-25,6,20,5,100
20,121,quaker oats,2023-07-19,1,212,1,212
14,123,besan,2023-04-21,9,52,9,468
1,121,clinic plus,2023-04-06,2,1.5,3,4.5
6,123,refined oil,2023-04-25,7,110,4,440
14,121,dantkanti,2023-07-14,3,100,10,1000
10,121,dantkanti,2023-04-13,1,100,3,300
1,122,sugar,2023-07-11,6,50,4,200
20,122,maida,2023-04-14,5,20,1,20
8,123,quaker oats,2023-03-26,7,212,10,2120
14,121,quaker oats,2023-06-15,1,212,8,1696
8,123,clinic plus,2023-08-08,9,1.5,9,13.5
19,123,dantkanti,2023-07-14,7,100,1,100
6,121,quaker oats,2023-07-20,1,212,2,424
16,121,sugar,2023-03-28,1,50,2,100
17,121,sugar,2023-06-03,3,50,7,350
15,121,refined oil,2023-07-27,1,110,9,990
16,122,maida,2023-04-10,5,20,9,180
