customer_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
10,maida,2025-05-15,"[4, 5, 6]",20,9,180,UPI
19,dantkanti,2025-05-15,"[4, 5, 6]",100,1,100,UPI
5,dantkanti,2025-05-15,"[1, 2, 3]",100,5,500,UPI
9,clinic plus,2025-05-15,"[1, 2, 3]",1.5,9,13.5,UPI
10,sugar,2025-05-15,"[7, 8, 9]",50,8,400,UPI
5,clinic plus,2025-05-15,"[4, 5, 6]",1.5,3,4.5,UPI
8,sugar,2025-05-15,"[4, 5, 6]",50,2,100,cash
5,sugar,2025-05-15,"[1, 2, 3]",50,2,100,cash
12,nutrella,2025-05-15,"[1, 2, 3]",40,9,360,UPI
17,clinic plus,2025-05-15,"[4, 5, 6]",1.5,10,15.0,UPI
9,clinic plus,2025-05-15,"[4, 5, 6]",1.5,8,12.0,UPI
12,quaker oats,2025-05-15,"[1, 2, 3]",212,6,1272,cash
3,dantkanti,2025-05-15,"[7, 8, 9]",100,2,200,cash
19,besan,2025-05-15,"[7, 8, 9]",52,9,468,UPI
7,besan,2025-05-15,"[4, 5, 6]",52,5,260,UPI
6,maida,2025-05-15,"[4, 5, 6]",20,7,140,UPI
5,besan,2025-05-15,"[7, 8, 9]",52,8,416,cash
3,quaker oats,2025-05-15,"[1, 2, 3]",212,4,848,cash
11,quaker oats,2025-05-15,"[4, 5, 6]",212,10,2120,UPI
12,dantkanti,2025-05-15,"[4, 5, 6]",100,7,700,cash
3,besan,2025-05-15,"[7, 8, 9]",52,10,520,cash
14,sugar,2025-05-15,"[7, 8, 9]",50,5,250,UPI
13,dantkanti,2025-05-15,"[4, 5, 6]",100,1,100,UPI
18,maida,2025-05-15,"[4, 5, 6]",20,2,40,UPI
16,clinic plus,2025-05-15,"[7, 8, 9]",1.5,10,15.0,cash
12,nutrella,2025-05-15,"[7, 8, 9]",40,2,80,cash
17,sugar,2025-05-15,"[1, 2, 3]",50,7,350,cash
16,besan,2025-05-15,"[7, 8, 9]",52,4,208,cash
12,refined oil,2025-05-15,"[1, 2, 3]",110,8,880,UPI
12,maida,2025-05-15,"[1, 2, 3]",20,9,180,cash
14,dantkanti,2025-05-15,"[7, 8, 9]",100,2,200,cash
9,clinic plus,2025-05-15,"[7, 8, 9]",1.5,8,12.0,cash
11,maida,2025-05-15,"[7, 8, 9]",20,4,80,UPI
8,clinic plus,2025-05-15,"[7, 8, 9]",1.5,5,7.5,UPI
11,dantkanti,2025-05-15,"[1, 2, 3]",100,9,900,cash
10,clinic plus,2025-05-15,"[7, 8, 9]",1.5,2,3.0,UPI
3,refined oil,2025-05-15,"[7, 8, 9]",110,6,660,UPI
1,clinic plus,2025-05-15,"[7, 8, 9]",1.5,10,15.0,UPI
13,besan,2025-05-15,"[7, 8, 9]",52,7,364,cash
18,dantkanti,2025-05-15,"[7, 8, 9]",100,6,600,UPI
10,nutrella,2025-05-15,"[1, 2, 3]",40,2,80,UPI
10,maida,2025-05-15,"[7, 8, 9]",20,3,60,cash
18,maida,2025-05-15,"[1, 2, 3]",20,6,120,UPI
14,nutrella,2025-05-15,"[1, 2, 3]",40,6,240,UPI
4,refined oil,2025-05-15,"[7, 8, 9]",110,5,550,UPI
2,dantkanti,2025-05-15,"[1, 2, 3]",100,5,500,cash
9,besan,2025-05-15,"[1, 2, 3]",52,1,52,UPI
3,nutrella,2025-05-15,"[4, 5, 6]",40,2,80,cash
17,besan,2025-05-15,"[4, 5, 6]",52,4,208,cash
4,quaker oats,2025-05-15,"[7, 8, 9]",212,9,1908,UPI
6,nutrella,2025-05-15,"[4, 5, 6]",40,2,80,cash
19,dantkanti,2025-05-15,"[7, 8, 9]",100,3,300,UPI
12,nutrella,2025-05-15,"[7, 8, 9]",40,6,240,cash
16,quaker oats,2025-05-15,"[7, 8, 9]",212,6,1272,UPI
13,quaker oats,2025-05-15,"[1, 2, 3]",212,2,424,UPI
13,quaker oats,2025-05-15,"[7, 8, 9]",212,2,424,cash
3,nutrella,2025-05-15,"[1, 2, 3]",40,4,160,cash
13,dantkanti,2025-05-15,"[1, 2, 3]",100,9,900,cash
6,refined oil,2025-05-15,"[1, 2, 3]",110,5,550,cash
10,nutrella,2025-05-15,"[4, 5, 6]",40,2,80,cash
1,refined oil,2025-05-15,"[7, 8, 9]",110,1,110,cash
10,clinic plus,2025-05-15,"[4, 5, 6]",1.5,7,10.5,cash
1,clinic plus,2025-05-15,"[7, 8, 9]",1.5,9,13.5,UPI
1,nutrella,2025-05-15,"[4, 5, 6]",40,8,320,cash
11,sugar,2025-05-15,"[4, 5, 6]",50,9,450,cash
9,nutrella,2025-05-15,"[1, 2, 3]",40,5,200,cash
